metric,scenario,scenario_label,n_runs,last_window,last_mean,last_sd,last_ci95_low,last_ci95_high,last_median,last_min,last_max,delta_convention,delta_mean,delta_sd,delta_ci95_low,delta_ci95_high,delta_median,delta_min,delta_max
MEAN_HOUSEHOLD_SIZE,ce_off,Linear reference,100,24,2.2649565625,0.009513025523823425,2.263092009497331,2.2668211155026694,2.265645833333333,2.2399687499999996,2.29075,final_minus_initial,0.15415249999999997,0.009705505505702035,0.15225022092088236,0.15605477907911758,0.1546249999999998,0.1259999999999999,0.1847500000000002
MEAN_HOUSEHOLD_SIZE,ce_light,Light CE,100,24,2.2653416666666666,0.009360403432921466,2.263507027593814,2.267176305739519,2.266208333333333,2.2371979166666667,2.2928645833333334,final_minus_initial,0.154,0.009806202943118021,0.15207798422314886,0.15592201577685114,0.15549999999999997,0.1237499999999998,0.1847500000000002
MEAN_HOUSEHOLD_SIZE,baseline,Baseline CE,100,24,2.266503541666667,0.009572460599043722,2.2646273393892544,2.268379743944079,2.266609375,2.2423229166666667,2.2936666666666667,final_minus_initial,0.15544,0.010152319732927828,0.15345014533234613,0.15742985466765386,0.154625,0.12950000000000017,0.1844999999999999
MEAN_HOUSEHOLD_SIZE,ce_strong,Targeted CE expansion,100,24,2.2648864583333332,0.009893535917526576,2.262947325293498,2.2668255913731685,2.2650729166666665,2.2430625,2.2879583333333335,final_minus_initial,0.153495,0.010213935074052966,0.15149306872548562,0.15549693127451436,0.15362499999999968,0.13050000000000006,0.17925000000000013
TOTAL_SYNTHETIC_POPULATION,ce_off,Linear reference,100,24,9059.82625,38.05210209529359,9052.368037989323,9067.284462010677,9062.583333333334,8959.875,9163.0,final_minus_initial,616.61,38.82202202280806,609.0008836835297,624.2191163164704,618.5,504.0,739.0
TOTAL_SYNTHETIC_POPULATION,ce_light,Light CE,100,24,9061.366666666667,37.441613731686026,9054.028110375257,9068.705222958077,9064.833333333332,8948.791666666666,9171.458333333334,final_minus_initial,616.0,39.22481177247201,608.3119368925954,623.6880631074046,622.0,495.0,739.0
TOTAL_SYNTHETIC_POPULATION,baseline,Baseline CE,100,24,9066.014166666666,38.2898423961748,9058.509357557015,9073.518975776316,9066.4375,8969.291666666666,9174.666666666666,final_minus_initial,621.76,40.60927893171135,613.8005813293846,629.7194186706154,618.5,518.0,738.0
TOTAL_SYNTHETIC_POPULATION,ce_strong,Targeted CE expansion,100,24,9059.545833333334,39.57414367010641,9051.789301173992,9067.302365492675,9060.291666666666,8972.25,9151.833333333334,final_minus_initial,613.98,40.85574029621193,605.9722749019425,621.9877250980576,614.5,522.0,717.0
HOUSEHOLD_SIZE_CHANGE_COUNT_M,ce_off,Linear reference,100,24,8.01125,0.5592006367418008,7.901646675198608,8.120853324801393,7.958333333333333,6.75,9.333333333333334,final_minus_initial,0.54,4.361030366620469,-0.3147619518576118,1.3947619518576118,1.0,-11.0,9.0
HOUSEHOLD_SIZE_CHANGE_COUNT_M,ce_light,Light CE,100,24,7.997916666666665,0.529117617494009,7.894209613637839,8.10162371969549,8.083333333333334,6.666666666666667,9.0,final_minus_initial,0.06,4.410318479532866,-0.8044224219884417,0.9244224219884418,-0.5,-9.0,11.0
HOUSEHOLD_SIZE_CHANGE_COUNT_M,baseline,Baseline CE,100,24,8.055416666666668,0.6273679888505178,7.932452540851966,8.17838079248137,7.9375,6.75,9.625,final_minus_initial,0.17,3.9210774647854745,-0.598531183097953,0.938531183097953,0.0,-10.0,15.0
HOUSEHOLD_SIZE_CHANGE_COUNT_M,ce_strong,Targeted CE expansion,100,24,7.939166666666668,0.6074101661882,7.820114274093781,8.058219059239555,8.0,6.291666666666667,9.208333333333334,final_minus_initial,0.43,4.318751690201251,-0.4164753312794452,1.2764753312794452,1.0,-8.0,10.0
OBSERVED_CE_ACTIONS_M,ce_off,Linear reference,100,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,final_minus_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0
